 5XX 500 502 200 600.00   0.00 CS 000   7
  14.0300  41.6500  2
  14.0200  41.6500  2
  14.0100  41.6600  2
  14.0100  41.6700  2
  14.0000  41.6700  2
  13.9900  41.6800  2
  13.9800  41.6800  2
  13.9700  41.6800  2
  13.9700  41.6800  2
  13.9500  41.6700  2
  13.9400  41.6700  2
  13.9300  41.6700  2
  13.9200  41.6800  2
  13.9100  41.6800  2
  13.9100  41.6900  2
  13.9000  41.6900  2
  13.8900  41.7000  2
  13.8900  41.7100  2
  13.8800  41.7200  2
  13.8800  41.7300  2
  13.8700  41.7300  2
  13.8700  41.7500  2
  13.8700  41.7600  2
  13.8800  41.7700  2
  13.8700  41.7800  2
  13.8700  41.7900  2
  13.8600  41.8000  2
  13.8600  41.8100  2
  13.8500  41.8100  2
  13.8500  41.8200  2
  13.8400  41.8300  2
  13.8300  41.8300  2
  13.8300  41.8400  2
  13.8200  41.8500  2
  13.8200  41.8600  2
  13.8200  41.8700  2
  13.8200  41.8800  2
  13.8300  41.8900  2
  13.8300  41.9000  2
  13.8300  41.9100  2
  13.8400  41.9200  2
  13.8400  41.9300  2
  13.8400  41.9400  2
  13.8400  41.9400  2
  13.8300  41.9500  2
  13.8200  41.9600  2
  13.8200  41.9600  2
  13.8100  41.9700  2
  13.8000  41.9700  2
  13.7900  41.9800  2
  13.7800  41.9800  2
  13.7700  41.9900  2
  13.7600  41.9900  2
  13.7500  41.9900  2
  13.7500  42.0000  2
  13.7400  42.0000  2
  13.7300  42.0100  2
  13.7200  42.0100  2
  13.7100  42.0100  2
  13.7000  42.0200  2
  13.6900  42.0200  2
  13.6800  42.0300  2
  13.6700  42.0300  2
  13.6700  42.0400  2
  13.6600  42.0400  2
  13.6500  42.0400  2
  13.6400  42.0500  2
  13.6300  42.0500  2
  13.6200  42.0600  2
  13.6200  42.0700  2
  13.6100  42.0700  2
  13.6100  42.0800  2
  13.6000  42.0900  2
  13.6000  42.1000  2
