 9XX 100 704 131 200.00   0.00 SS 000   3
  23.9300  34.5100  2
  29.5700  32.3300  3
  29.5900  32.0000  2
  29.4600  31.6600  2
  29.4000  31.4300  2
  29.6500  31.9200  3
  29.5700  31.9300  2
  29.1600  31.0500  3
  28.9700  30.5600  2
  28.6800  30.0800  2
  28.4400  29.5900  2
  28.1700  29.3100  2
  27.6500  28.9200  2
  27.3100  28.5600  2
  27.0000  28.2300  2
  26.7100  27.8800  2
  26.5800  27.5200  2
  26.5100  27.1200  2
  26.3500  26.4000  2
  26.2600  25.8700  2
  26.1900  25.4100  2
  26.0200  24.7300  2
  26.3200  26.1400  3
  26.1500  26.2200  2
  27.1900  28.3800  3
  27.1100  28.5000  2
  28.1500  29.2800  3
  28.0500  29.4100  2
  28.9400  30.5400  3
  28.8400  30.6200  2
  29.5500  31.2300  3
  29.2500  30.6900  2
  29.1200  30.1800  2
  29.0900  29.8000  2
  29.0600  29.3600  2
  28.8300  28.8200  2
  28.5200  28.4100  2
  28.2600  27.9700  2
  28.0200  27.4800  2
  27.5600  26.9700  2
  27.3100  26.3900  2
  27.1800  25.8100  2
  26.9500  25.0900  2
  26.8900  24.7500  2
  27.5100  26.6300  3
  27.3700  26.7100  2
  28.5100  28.0300  3
  28.3800  28.0900  2
  29.2400  29.5900  3
  29.1300  29.6200  2
  29.3700  30.5900  3
  29.2500  30.6400  2
  30.0000  31.7100  3
  29.9900  32.0100  2
  29.9100  32.2600  2
  29.8100  32.4400  2
  30.1100  32.1000  3
  30.0400  32.0800  2
  29.2300  29.6900  3
  29.5100  30.0600  2
  29.7200  30.4900  2
  29.9100  30.9400  2
  29.9700  31.0700  2
  29.6200  30.3800  3
  29.4900  30.4600  2
  29.9500  31.0500  3
  30.0400  30.6200  2
  30.0800  30.0500  2
  29.9700  29.4400  2
  29.8000  28.9300  2
  29.8800  28.4100  2
  30.0100  28.0400  2
  30.0500  27.5000  2
  30.0500  27.1300  2
  30.0300  26.9200  2
  29.9500  29.3800  3
  29.8600  29.3700  2
  29.9200  28.3100  3
  29.8000  28.2300  2
  30.0300  27.3000  3
  29.9400  27.2900  2
  29.8900  29.9500  3
  29.6900  29.4400  2
  29.4000  28.7800  2
  29.2600  28.2400  2
  28.9400  27.2300  2
  28.7700  26.7700  2
  28.6500  26.1300  2
  28.6000  25.8300  2
  29.0900  27.3900  3
  99.0000   0.0000  3
 70X 501 704 200 135.00   0.00 NO 000   3
  28.9800  27.4500  3
  28.9200  26.6200  3
  28.8000  26.6400  2
  29.4400  28.5200  3
  29.3500  28.5700  2
  29.7100  29.2400  3
  29.6100  29.3200  2
  30.1000  25.3700  3
  30.1100  26.0600  2
  30.1300  26.5700  2
  30.2100  25.9500  3
  30.1300  25.9500  2
  30.3600  25.2500  3
  30.4200  25.7500  2
  30.5700  26.1800  2
  30.6900  26.5700  2
  30.4800  25.9600  3
  30.3800  26.0300  2
  30.3300  26.2600  3
  30.3200  26.7000  2
  30.3400  26.4800  3
  30.2700  26.5000  2
  30.3200  26.8800  3
  30.4000  27.3800  2
  30.4400  27.8500  2
  30.3900  28.4700  2
  30.3500  29.0100  2
  30.4300  29.5900  2
  30.5800  30.0900  2
  30.7200  30.4200  2
  30.8200  30.7600  2
  30.4900  29.3400  3
  30.4100  29.3700  2
  30.5100  28.4600  3
  30.3800  28.4600  2
  30.5100  27.5700  3
  30.4300  27.5500  2
  31.1500  27.2000  3
  30.9100  27.7200  2
  30.7600  28.3400  2
  30.8000  28.8600  2
  30.8600  29.2100  2
  30.8900  29.3600  2
  30.7900  28.2400  3
  30.6900  28.2400  2
  30.9900  27.4600  3
  30.8900  27.3800  2
  31.7400  25.5900  3
  31.5300  25.7500  2
  31.4100  26.0000  2
  31.4200  26.4000  2
  31.4300  25.8700  3
  31.3300  25.7900  2
  32.4400  20.5500  3
  32.7000  21.0500  2
  32.9000  21.8000  2
  32.8900  22.3600  2
  32.7300  22.8700  2
  32.6600  23.1700  2
  32.9100  21.2800  3
  32.8000  21.3800  2
  32.8600  22.7900  3
  32.7900  22.7500  2
  32.4700  23.1800  3
  32.2600  23.4800  2
  32.0400  24.1900  2
  32.0000  24.7400  2
  32.1900  24.0100  3
  32.1200  23.9500  2
  31.8800  24.0300  3
  31.8400  24.3500  2
  31.8000  24.6900  2
  31.7900  24.9500  2
  31.9400  24.3600  3
  31.8500  24.3400  2
  31.9300  25.6800  3
  31.8700  26.3700  2
  31.7800  26.8100  2
  31.5000  27.1100  2
  31.3600  27.8800  2
  31.2400  28.6100  2
  31.1600  29.0800  2
  31.1200  29.4400  2
  31.4100  28.2500  3
  31.3300  28.2400  2
  31.5500  27.5700  3
  31.4500  27.5500  2
  31.7300  27.0700  3
  31.6700  27.5700  2
  31.5400  27.9400  2
  31.5100  28.1400  2
  31.6800  27.6300  3
  31.6000  27.6300  2
  31.3100  29.3600  3
  31.2600  29.9700  2
  31.1100  30.6200  2
  31.0100  31.0800  2
  30.9600  31.5600  2
  30.9600  31.9000  2
  30.9400  32.2800  2
  31.4100  30.1600  3
  31.2700  30.1500  2
  31.0500  20.0100  3
  30.7200  20.2300  2
  30.4000  20.4100  2
  30.1700  20.5200  2
  30.6900  20.2600  3
  30.6700  20.1400  2
  30.3700  20.4200  3
  30.3000  20.3400  2
  30.5300  19.5000  3
  30.1800  19.8300  2
  29.7900  20.1600  2
  29.7800  20.4400  2
  29.5300  21.1400  2
  29.4400  21.6000  2
  29.2600  21.9500  2
  29.1000  22.1600  2
  28.9700  21.8200  3
  28.9300  22.3200  2
  28.9200  22.9200  2
  28.9300  23.2200  2
  28.9900  23.9800  2
  28.9900  24.2700  2
  28.9900  23.5800  3
  28.9200  23.5600  2
  28.9300  22.3100  3
  28.8400  22.3000  2
  29.3400  21.7600  3
  29.2400  21.6800  2
  29.9500  20.0200  3
  30.0200  20.1300  2
  30.6500  20.3000  3
  30.6000  20.1700  2
  28.5600  21.8400  3
  28.6300  22.3200  2
  28.6100  22.6900  2
  28.6600  23.2000  2
  28.7200  22.6400  3
  28.6200  22.5900  2
  28.7200  22.0800  3
  28.5800  22.1300  2
  27.8500  21.7700  3
  27.7900  22.2100  2
  27.8400  22.7300  2
  27.7600  22.2400  3
  27.7000  22.2100  2
  27.5400  21.7500  3
  27.4700  22.1400  2
  27.4700  22.6700  2
  27.5800  22.2100  3
  27.4900  22.1800  2
  27.1700  21.5300  3
  27.0800  21.9300  2
  27.1800  22.3600  2
  27.3400  22.6900  2
  27.0400  22.1400  3
  26.9400  22.1500  2
  27.1400  21.6300  3
  27.0000  21.5100  2
  30.9100  18.6500  3
  30.6200  18.9300  2
  30.2600  19.2900  2
  29.8600  19.6800  2
  29.5000  20.0200  2
  29.1600  20.4000  2
  28.8800  20.8200  2
  28.5800  21.2800  2
  28.3900  21.6900  2
  28.8500  20.9300  3
  28.7700  20.8600  2
  29.5700  20.0000  3
  29.4900  19.8800  2
  30.1900  19.3200  3
  30.1300  19.2600  2
  30.3000  18.9000  3
  29.9000  19.3200  2
  29.5100  19.7300  2
  29.1600  20.0900  2
  28.6700  20.4700  2
  28.0800  20.7100  2
  27.6100  20.8400  2
  26.9500  20.9400  2
  26.4500  21.0500  2
  26.0700  21.1800  2
  27.4300  20.7800  3
  27.4300  20.8800  2
  28.5500  20.5300  3
  28.5700  20.6100  2
  29.2400  19.9600  3
  29.3100  20.0200  2
  29.8500  19.4000  3
  29.9100  19.4600  2
  31.2200  16.5400  3
  31.0600  16.9900  2
  30.9100  17.4600  2
  30.7100  17.9600  2
  30.2400  18.5400  2
  29.8200  19.0900  2
  29.3800  19.5200  2
  99.0000   0.0000  3
 70X 501 704 135 135.00   0.00 NO 000   3
  28.8200  19.8400  3
  28.3400  19.9000  2
  27.8500  19.8800  2
  27.3200  19.9300  2
  26.6700  19.9800  2
  26.2700  19.9800  2
  26.0300  20.0200  2
  27.5100  19.8900  3
  27.4700  19.7700  2
  28.7200  19.8000  3
  28.7000  19.6900  2
  29.4600  19.4800  3
  29.3900  19.3400  2
  30.5000  18.2300  3
  30.2000  18.4500  2
  29.7300  18.8500  2
  29.2700  19.1800  2
  28.7200  19.3200  2
  28.2300  19.3000  2
  27.8400  19.4100  2
  28.8000  19.3800  3
  28.8300  19.2800  2
  29.4900  19.2500  3
  29.4500  19.1400  2
  29.3700  19.1300  3
  29.1100  18.9500  2
  28.6400  18.8500  2
  28.3500  18.8500  2
  28.0300  18.7400  2
  27.7900  18.7700  2
  32.3700  14.5300  3
  31.8900  14.7400  2
  31.7500  15.4900  2
  31.6300  15.8400  2
  31.2600  16.2400  2
  31.0600  16.6500  2
  30.7800  16.9200  2
  30.5600  17.1700  2
  30.2400  17.3100  2
  29.9000  17.5100  2
  29.5300  17.7200  2
  29.2500  17.7700  2
  29.0700  17.6400  2
  28.6400  17.8200  2
  28.3700  18.1200  2
  28.0300  18.5200  2
  27.6500  18.8500  2
  27.1800  19.0700  2
  26.6600  19.1700  2
  26.1200  19.1500  2
  25.7700  19.1500  2
  27.1500  19.1100  3
  27.1100  18.9700  2
  28.0300  18.5300  3
  27.9500  18.4300  2
  28.9900  17.6600  3
  28.9600  17.5600  2
  29.7500  17.5900  3
  29.6900  17.4600  2
  30.7800  16.9900  3
  30.6700  16.8600  2
  31.5300  15.9200  3
  31.6600  16.0200  2
  31.8700  15.0200  3
  32.0000  15.0600  2
  30.5500  16.4100  3
  30.2300  16.7000  2
  29.8600  16.8200  2
  29.5100  16.9800  2
  29.2700  17.1600  2
  28.9400  17.3200  2
  28.5900  17.4900  2
  28.2700  17.8200  2
  28.0100  18.1100  2
  27.5900  18.2800  2
  27.1300  18.3800  2
  26.7000  18.4000  2
  27.5700  18.3200  3
  27.5800  18.3900  2
  28.3200  17.7500  3
  28.4100  17.7800  2
  29.1700  17.2700  3
  29.2000  17.3500  2
  29.8400  16.8400  3
  29.9600  16.9600  2
  29.1000  16.8900  3
  28.8300  17.1300  2
  28.5300  17.3400  2
  28.2800  17.5800  2
  27.9200  17.9900  2
  27.5900  18.0800  2
  27.2900  18.1600  2
  30.6700  15.3900  3
  30.2000  15.6800  2
  29.9000  15.9300  2
  29.7600  16.1100  2
  29.4600  16.2000  2
  29.0500  16.4600  2
  28.8700  16.6300  2
  28.6600  16.7800  2
  30.6200  14.7800  3
  30.2700  15.1300  2
  29.7900  15.3800  2
  29.5400  15.5800  2
  29.1000  15.7900  2
  28.8100  16.1000  2
  28.7000  16.6000  2
  28.4200  17.1300  2
  28.1200  17.5500  2
  27.8700  17.8400  2
  27.6700  18.0600  2
  29.9400  15.9100  3
  29.8400  15.7100  2
  29.5200  15.5700  3
  29.5300  15.6800  2
  28.5800  17.2700  3
  28.5300  17.1700  2
  28.1700  17.4000  3
  28.2400  17.4600  2
  28.3100  18.2100  3
  28.2400  18.1300  2
  27.7700  18.1700  3
  27.8100  18.2200  2
  29.3800  19.1300  3
  29.1500  18.9900  2
  28.6900  18.9000  2
  28.3900  18.8800  2
  28.1800  18.7700  2
  27.9200  18.7700  2
  27.7600  18.7500  2
  28.3500  18.7600  3
  28.3100  18.8500  2
  29.1400  18.8000  3
  29.1200  18.9100  2
  29.1100  18.9200  3
  99.0000   0.0000  3
 70X 501 704  65  30.00   0.00 NO 000   1
   6.3600  36.7600  3
   6.5400  37.0300  2
   6.9100  37.4000  2
   6.7900  37.0100  3
   7.3600  37.3900  2
   7.9600  37.5100  2
   8.5300  37.6300  2
   8.7100  37.6100  2
   6.6400  37.1500  3
   6.5600  37.2400  2
   7.2400  37.3400  3
   7.2300  37.4500  2
   8.1900  37.5600  3
   8.1800  37.6200  2
   9.0900  37.1400  3
   9.1200  37.6800  2
   9.1600  38.2100  2
   9.1500  38.7600  2
   9.1100  39.1200  2
   9.2000  39.6500  2
   9.6200  39.9600  2
  10.1500  40.2200  2
  10.7500  40.2300  2
  11.1900  40.1600  2
  11.5800  40.0300  2
  11.9900  39.9700  2
  12.4700  39.9300  2
  12.7100  39.9200  2
  12.7400  40.1600  3
  13.0500  40.1100  2
  13.3700  40.0600  2
  15.1200  39.8000  3
  14.7700  39.9300  2
  14.3100  40.1800  2
  13.7500  40.1900  2
  13.3300  40.2800  2
  13.0300  40.3700  2
  13.7200  40.2000  3
  13.7300  40.2800  2
  14.1700  40.2000  3
  14.2300  40.2800  2
  13.0000  40.0600  3
  13.0300  40.1500  2
  11.1400  40.2500  3
  11.1500  40.3200  2
  10.0400  40.2400  3
   9.9800  40.3400  2
   9.0700  39.0200  3
   8.7100  38.7600  2
   8.1500  38.3800  2
   7.7800  38.0500  2
   7.2900  37.8400  2
   6.9200  37.9600  2
   6.4800  37.7500  2
   5.9900  37.5600  2
   5.7200  37.4700  2
   6.4700  37.8100  3
   6.4100  37.8600  2
   7.3300  37.9000  3
   7.3100  38.0000  2
   7.9400  38.2200  3
   7.8400  38.2800  2
   8.6100  38.7800  3
   8.5400  38.8900  2
  13.3300  40.0500  3
  99.0000   0.0000  3
 70X 501 704 200 135.00   0.00 NO 000   3
  14.3200  11.8700  3
  14.1100  12.1000  2
  13.7000  12.1900  2
  14.4300  12.4800  3
  14.0600  12.5300  2
  13.3200  12.2900  2
  13.3700  13.5400  3
  13.7400  13.3600  2
  14.0000  13.2000  3
  14.2800  13.0000  2
  14.7600  12.7300  3
  15.0400  12.5700  2
  15.5900  12.1900  3
  15.9400  11.9200  2
  16.3000  11.4400  3
  16.4700  11.2000  2
  18.5500   8.7600  3
  18.2800   9.0600  2
  17.8000   9.4900  2
  17.3400  10.0800  2
  17.1500  10.3900  2
  18.6300   8.9100  3
  18.5800   9.1100  2
  18.2700   9.6100  2
  17.9200  10.0300  2
  17.5500  10.4800  2
  17.3200  10.7900  2
  17.0700  11.0700  2
  19.2400  10.1600  3
  18.7800  10.4600  2
  18.4400  10.6300  2
  17.9100  10.8200  2
  17.6300  11.1000  2
  20.0400  10.3800  3
  19.5400  10.5600  2
  19.2500  10.7300  2
  18.7700  10.9700  2
  18.2700  11.2400  2
  17.8000  11.5200  2
  17.5500  11.6700  2
  19.0500  11.0700  3
  18.6500  11.2700  2
  18.2700  11.4200  2
  18.0500  11.5600  2
  20.0100  11.3700  3
  19.6200  11.4200  2
  19.4200  11.5600  2
  19.1400  11.5800  2
  18.5900  11.8000  2
  20.0100  11.3700  3
  19.6800  11.6500  2
  19.2700  11.9100  2
  18.9700  12.0300  2
  21.5500  11.2500  3
  21.2100  11.3300  2
  20.7800  11.5200  2
  20.3600  11.6900  2
  20.0200  11.8600  2
  19.5500  12.1100  2
  19.1700  12.3200  2
  19.0400  12.4100  3
  18.5800  12.4700  2
  18.1300  12.6300  2
  17.7500  12.7300  2
  17.3700  12.8600  2
  16.7800  13.0500  2
  16.2400  13.1600  2
  15.5200  13.2200  2
  15.0400  13.3500  2
  14.6800  13.6200  2
  14.2000  13.8900  2
  13.9600  14.1100  2
  22.8600  10.3600  3
  22.3900  10.5100  2
  22.0900  10.6200  2
  21.8200  10.7600  2
  21.5500  10.9500  2
  13.2900  39.2900  3
  13.1800  39.4600  2
  13.1400  39.7200  2
  13.1100  39.9000  2
  13.5600  39.2600  3
  13.4500  39.4800  2
  13.3100  39.6900  2
  13.2700  39.8300  2
  13.8000  39.2900  3
  13.6900  39.5800  2
  13.5700  39.8400  2
  13.5200  39.9400  2
  13.9300  39.4500  3
  13.9200  39.6400  2
  13.7900  39.7100  2
  13.7500  39.9900  2
  24.6400  33.3700  3
  24.2400  33.7700  2
  23.7400  34.0200  2
  23.3000  34.3800  2
  23.0300  34.6500  2
  24.4600  34.4400  3
  24.0300  34.7300  2
  23.7200  34.9300  2
  23.4400  35.1200  2
  23.2600  35.2200  2
  24.0600  33.7600  3
  24.1100  33.8700  2
  24.5900  33.4200  3
  24.6200  33.4600  2
  23.3200  34.4100  3
