 9XX 500 907 200 600.00   0.00 CS 000   7
  12.1700  52.2100  2
  12.1600  52.2200  2
  12.1700  52.2300  2
  12.1700  52.2400  2
  12.5700  54.4000  3
  12.5600  54.5100  2
  12.5000  54.4900  2
  12.3800  54.3600  2
  12.3400  54.2000  2
  12.2600  54.0100  2
  12.2900  53.8200  2
  12.3300  53.5900  2
  12.4600  53.4100  2
  12.6600  53.4800  2
  12.6900  53.5900  2
  12.6000  53.6900  2
  12.5700  53.7300  2
  12.5700  53.7800  2
  12.5700  53.8900  2
  12.6300  54.0400  2
  12.6000  54.2200  2
  12.5700  54.4000  2
  12.1300  53.1000  3
  -4.5700  55.2800  3
  -4.5700  55.2900  2
  -4.5200  55.2900  2
  -4.5700  55.2800  2
  -9.4200  46.4400  3
  -9.4000  46.4900  2
  -9.4000  46.3600  2
  -9.4800  46.3000  2
  -9.5000  46.4400  2
  -9.4100  46.5800  2
  -9.4200  46.4400  2
  99.0000   0.0000  3
 94X 118 907  77  84.00   0.00 AN    34 3
 -20.1500  49.8900  3
 -20.2600  49.9700  2
 -20.3700  50.0700  2
 -20.4600  50.1400  2
 -20.5600  50.2400  2
 -20.6600  50.3300  2
 -20.7500  50.4500  2
 -20.8700  50.5400  2
 -20.9500  50.6000  2
 -21.0500  50.6700  2
 -20.6400  50.2300  3
 -20.5800  50.3100  2
 -20.2200  49.8800  3
 -20.1400  49.9100  2
 -20.3700  49.5100  3
 -20.3300  49.5400  2
 -20.4000  49.5800  2
 -20.4100  49.5400  2
 -20.4700  49.6000  2
 -20.4800  49.5400  2
 -20.4600  49.5000  2
 -20.4900  49.7200  3
 -20.3500  49.7400  2
 -20.4400  49.6700  2
 -20.4600  49.7500  2
 -23.1000  48.7800  3
 -23.2700  48.9200  2
 -23.3800  49.0600  2
 -23.5500  49.2300  2
 -23.7000  49.3600  2
 -23.7800  49.4400  2
 -23.8500  49.5000  2
 -23.9500  49.5800  2
 -24.0300  49.6500  2
 -23.7900  49.3700  3
 -23.7500  49.4600  2
 -23.5100  49.1200  3
 -23.4900  49.2200  2
 -24.0900  49.5100  3
 -24.0800  49.5400  2
 -24.1200  49.5600  2
 -24.1300  49.5500  2
 -24.1300  49.5900  2
 -24.1700  49.5800  2
 -24.1700  49.5200  2
 -24.1800  49.7300  3
 -24.0900  49.7200  2
 -24.1600  49.6600  2
 -24.1400  49.7600  2
 -26.1900  46.9600  3
 -26.2700  47.0500  2
 -26.3700  47.1300  2
 -26.4700  47.2200  2
 -26.5800  47.3400  2
 -26.6800  47.4100  2
 -26.7900  47.5200  2
 -26.8800  47.6100  2
 -26.9600  47.6900  2
 -27.0300  47.7300  2
 -27.1100  47.8300  2
 -27.1900  47.9200  2
 -27.1600  47.7900  3
 -27.1500  47.9300  2
 -26.5700  47.2900  3
 -26.5400  47.4100  2
 -27.2600  47.8300  3
 -27.2500  47.8900  2
 -27.2600  47.9400  2
 -27.3000  47.9000  2
 -27.3400  47.9400  2
 -27.3600  47.9000  2
 -27.3600  47.8400  2
 -27.4000  48.1000  3
 -27.2500  48.1000  2
 -27.3300  48.0400  2
 -27.3400  48.1600  2
  99.0000   0.0000  3
 94X 119 907 121  80.17   0.00 AN   33R 2
 -19.7800  50.3500  3
 -19.8600  50.4200  2
 -19.9600  50.4900  2
 -20.0500  50.5900  2
 -20.1300  50.6700  2
 -20.2600  50.7800  2
 -20.3400  50.8500  2
 -20.4700  50.9900  2
 -20.5500  51.0300  2
 -20.5900  51.0600  2
 -20.6300  50.9700  3
 -20.6200  51.1000  2
 -20.1600  50.6000  3
 -20.0800  50.6600  2
 -19.6400  50.4900  3
 -19.6100  50.5400  2
 -19.6500  50.5800  2
 -19.6600  50.5300  2
 -19.7200  50.5900  2
