 5XX 500 501 200 600.00   0.00 CS 000   7
  11.6300  79.7500  2
  11.4000  79.7400  2
  11.1100  79.7400  2
  10.9600  79.7500  2
  10.7700  79.7600  2
  10.5900  79.7800  2
  10.4700  79.7800  2
  10.3500  79.7800  2
  10.3400  79.7800  2
  10.2700  79.7800  2
  10.2700  79.7300  2
  10.2700  79.5900  2
  10.3400  79.5300  2
  10.3400  79.4700  2
  10.2900  79.2900  2
  10.1000  79.1900  2
   9.9700  79.1500  2
   9.8000  79.0300  2
   9.6200  78.9000  2
   9.4400  78.8800  2
   9.3200  78.8900  2
   9.2700  78.9000  2
   9.2400  78.7900  2
   9.2200  78.5900  2
   9.1400  78.3900  2
   9.0300  78.1800  2
   8.9600  78.1500  2
   8.8500  78.1300  2
   8.6500  78.0500  2
   8.5800  78.0700  2
   8.4800  78.0300  2
   8.3700  77.9200  2
   8.3200  77.8400  2
   8.3000  77.8000  2
   8.2600  77.8000  2
   8.1200  77.6400  2
   8.1100  77.3300  2
   8.3000  77.1000  2
   8.6300  76.8300  2
   8.9800  76.6000  2
   9.2300  76.4800  2
   9.7500  76.3400  2
  10.2600  76.1200  2
  10.6900  75.9400  2
  11.1400  75.8200  2
  11.4900  75.7000  2
  11.5700  75.6300  2
  11.8800  75.3800  2
  12.0400  75.1900  2
  12.2800  75.0500  2
  12.2900  75.0400  2
  12.3800  75.0400  2
  12.5500  74.9700  2
  13.0500  74.8100  2
  13.4000  74.7400  2
  13.5900  74.7000  2
  13.8500  74.5900  2
  14.0200  74.4600  2
  14.2800  74.4100  2
  14.4700  74.3200  2
  14.6600  74.2300  2
  14.7300  74.1000  2
  14.9500  73.9400  2
  20.8800  92.2700  3
  20.8600  92.2200  2
  21.1500  92.0900  2
  21.3900  92.0300  2
  21.6500  91.9600  2
  21.9000  91.9400  2
  22.2300  91.8700  2
  22.4500  91.7400  2
  22.6900  91.5600  2
  22.7800  91.4400  2
  22.7200  91.2400  2
  22.6900  91.0100  2
  22.7700  90.8700  2
  22.9400  90.7700  2
  22.9000  90.6900  2
  22.7300  90.6200  2
  22.6300  90.4900  2
  22.4200  90.5400  2
  22.2800  90.5500  2
  22.2300  90.5500  2
  22.1100  90.4600  2
  21.9200  90.2800  2
  21.8000  90.1900  2
  21.8400  90.1200  2
  22.0600  89.9400  2
  21.9500  89.8500  2
  21.8500  89.8200  2
  21.7800  89.7100  2
  21.7200  89.6400  2
  21.8400  89.5900  2
  21.7600  89.4900  2
  21.7700  89.3800  2
  21.7800  89.2900  2
  21.7000  89.2800  2
  21.7300  89.2100  2
  21.7200  89.1400  2
  21.6400  89.0900  2
  21.6000  89.0100  2
  21.6300  88.8900  2
  19.8000  93.4700  3
  20.0500  92.9500  2
  20.2400  92.9400  2
  20.2700  92.7900  2
  20.4200  92.6800  2
  20.3700  92.6400  2
  20.4700  92.5200  2
  20.6400  92.4500  2
  20.7600  92.3500  2
  20.8800  92.2700  2
   9.8100  80.0300  3
   9.7500  79.9300  2
   9.6500  80.0500  2
   9.5800  80.2000  2
   9.4600  80.2800  2
   9.4700  80.1900  2
   9.3500  80.0800  2
   9.1100  80.0500  2
   8.9500  79.9300  2
   8.7400  79.9000  2
   8.5400  79.8700  2
   8.3200  79.8300  2
   8.0900  79.8000  2
   8.1500  79.7300  2
   8.0900  79.6700  2
   7.8100  79.6700  2
   7.4100  79.7300  2
   7.0900  79.7700  2
   6.8000  79.8200  2
   6.5100  79.8900  2
   6.2000  80.0500  2
   6.0100  80.2100  2
   5.9600  80.5100  2
   5.9600  80.7500  2
   6.0600  80.9500  2
   6.2200  81.2400  2
   6.4200  81.5300  2
   6.7200  81.7400  2
   7.1600  81.7900  2
   7.5300  81.8100  2
   7.6900  81.7800  2
   7.7300  81.6600  2
   7.9500  81.5700  2
   8.2300  81.4800  2
   8.4600  81.3700  2
   8.5700  81.2400  2
   8.6800  81.2000  2
   8.7000  81.2000  2
   8.8100  81.1300  2
   8.8200  81.1100  2
   8.8900  81.0400  2
   9.0000  80.9200  2
