 8XX 500 802 200 600.00   0.00 CS 000   7
 -27.1700-109.5000  3
 -27.1600-109.4000  2
 -27.1200-109.3800  2
 -27.0800-109.4100  2
 -27.0700-109.4500  2
 -27.0500-109.4900  2
 -27.1300-109.5300  2
 -27.1700-109.5400  2
 -67.0300  50.3900  2
 -66.9400  50.3900  2
 -66.8900  50.0400  2
 -66.6700  49.9000  2
 -66.5900  50.0600  2
 -66.4000  50.4700  2
 -66.3700  50.8000  2
 -66.3400  51.1300  2
 -66.1800  51.5700  2
 -66.0800  52.1800  2
 -66.0700  52.5400  2
 -66.0300  52.8200  2
 -66.0200  53.3800  2
 -66.0300  53.8300  2
 -66.0700  54.2400  2
 -66.0700  54.6500  2
 -66.0800  55.0200  2
 -66.1500  55.2500  2
 -66.2600  55.6200  2
 -66.4000  55.8700  2
 -66.4400  56.0800  2
 -66.4600  56.1000  2
 -66.5400  56.2600  2
 -66.5700  56.4300  2
 -66.6400  56.8000  2
 -66.7500  57.2000  2
 -66.8400  57.2000  2
 -66.8900  57.0700  2
 -66.8600  56.7200  2
 -66.9100  56.4700  2
 -67.0000  56.4500  2
 -67.1200  56.5700  2
 -67.2200  56.6200  2
 -67.1800  56.8100  2
 -67.2100  57.0300  2
 -67.2000  57.1700  2
 -67.1600  57.4100  2
 -67.1500  57.6000  2
 -67.1900  57.8100  2
 -67.2100  58.0200  2
 -67.2400  58.1600  2
 -67.3200  58.3200  2
 -67.3300  58.5600  2
 -67.4000  58.8700  2
 -67.4200  58.7200  2
 -67.4100  58.4500  2
 -67.5000  58.6600  2
 -67.5500  58.9100  2
 -67.5100  59.1800  2
 -67.4200  59.2500  2
 -67.4200  59.4000  2
 -67.4700  59.4400  2
 -67.5200  59.4900  2
 -67.5400  59.6800  2
 -67.5300  60.0900  2
 -67.5500  60.8500  2
 -67.5800  61.1600  2
 -67.6100  61.3300  2
 -67.6500  61.2700  2
 -67.6900  61.3200  2
 -67.6800  61.3300  2
 -67.6700  61.5000  2
 -67.6700  61.9200  2
 -67.7100  62.3100  2
 -67.7600  62.5800  2
 -67.7500  62.9100  2
 -67.6600  63.2900  2
 -67.6300  63.6700  2
 -67.7000  64.2300  2
 -67.8000  64.8900  2
 -67.8100  65.3300  2
 -67.8600  65.6000  2
 -67.8800  66.4100  2
 -67.9600  67.1200  2
 -67.9600  67.9100  2
 -67.9900  68.5500  2
 -67.9000  69.1600  2
 -67.8800  69.6300  2
 -68.0500  69.6800  2
 -68.3300  70.1000  2
 -68.4400  70.2400  2
 -68.5400  70.4700  2
 -68.6300  70.6000  2
 -68.6900  70.7600  2
 -68.7300  71.3600  2
 -68.7200  71.6100  2
 -68.5500  72.0400  2
 -68.4100  72.1400  2
 -68.3900  72.4700  2
 -68.5500  73.2500  2
 -68.6100  73.4900  2
 -68.6900  73.4300  2
 -68.9000  73.3000  2
 -68.9300  73.4500  2
 -68.7900  73.8800  2
 -68.9900  74.6300  2
 -69.0500  74.3500  2
 -69.2700  74.6300  2
 -69.4400  74.7900  2
 -69.5900  74.2200  2
 -69.6600  73.9400  2
 -69.8000  73.8000  2
 -69.8200  74.1900  2
 -69.7500  74.5300  2
 -69.5900  74.9900  2
 -69.3100  75.3700  2
 -69.3400  75.7200  2
 -69.5200  75.4400  2
 -69.5800  75.5300  2
 -69.5900  75.8400  2
 -69.5200  76.0400  2
 -69.5000  76.5400  2
 -69.3100  77.1400  2
 -69.2400  77.5800  2
 -69.0500  77.9300  2
 -68.7800  77.7200  2
 -68.6400  77.8800  2
 -68.5000  78.2400  2
 -68.3300  78.7500  2
 -68.2000  78.9900  2
 -68.0300  79.7700  2
 -68.0000  80.3600  2
 -67.9400  81.0800  2
 -67.9000  81.2900  2
 -67.6900  81.5000  2
 -67.4900  81.4200  2
 -67.4000  81.7900  2
 -67.2300  82.1700  2
 -67.1100  82.2800  2
 -66.9600  82.3700  2
 -66.7100  81.8200  2
 -66.3800  81.3500  2
 -66.0500  81.3400  2
 -65.8600  81.7400  2
 -65.8200  82.0800  2
 -66.0300  82.1800  2
 -66.1500  82.4900  2
 -66.3500  82.8300  2
 -66.5000  83.2600  2
 -66.5700  83.5500  2
 -66.5000  83.8400  2
 -66.4800  84.3900  2
 -66.5200  84.7100  2
 -66.6600  84.9200  2
 -66.5500  85.2800  2
 -66.3900  85.7300  2
 -66.3300  86.1500  2
 -66.3200  86.2600  2
 -66.1600  86.8900  2
 -66.1300  87.6500  2
 -66.1900  88.2700  2
 -66.3600  88.5200  2
 -66.7000  88.9200  2
 -66.9200  89.5400  2
 -66.8600  90.2100  2
 -66.7500  90.8900  2
 -66.6200  91.8500  2
 -66.6200  92.2300  2
 -66.6700  92.6500  2
 -66.6800  93.0500  2
 -66.6700  93.6300  2
 -66.6000  94.0400  2
 -66.6300  94.3100  2
 -66.6400  94.3000  3
 -66.5400  94.7400  2
 -66.4300  95.0000  2
 -66.4800  95.1700  2
 -66.3200  95.3000  2
 -66.0900  95.6100  2
 -65.6200  95.4900  2
 -65.1900  95.7500  2
 -65.2100  96.5600  2
 -65.4500  97.3200  2
 -65.7400  98.1200  2
 -65.8200  98.4400  2
 -65.8700  98.8600  2
 -65.9200  99.3300  2
 -65.9400  99.5200  2
 -65.8200  99.8200  2
 -65.7000 100.2000  2
 -65.5800 100.4300  2
 -65.4700 100.7700  2
 -65.4600 101.0400  2
 -65.5400 101.2700  2
 -65.6500 101.5800  2
 -65.7600 101.9700  2
 -65.7700 102.2800  2
 -65.7200 102.5800  2
 -65.5300 102.6900  2
 -65.3500 102.9100  2
 -65.2000 102.8700  2
 -65.1600 103.0700  2
 -65.2900 103.3100  2
