61023	437	253	264	38	6	0	0
61024	437	253	264	49	359	4	0
61025	437	251	264	44	358	7	40
62061	631	253	264	50	241	6	46
62063	631	253	264	51	248	3	27
62064	631	253	264	54	242	10	37
62065	631	253	264	52	226	25	6
62066	631	253	264	25	204	25	26
62067	631	253	264	54	242	20	0
62068	631	253	264	53	253	6	27
62069	631	253	264	42	229	30	0
62070	631	253	264	24	221	9	201
62071	631	253	264	49	251	4	39
91026	510	251	264	-28	310	15	69
93072	433	260	272	76	193	13	24
54144	501	251	253	-4	283	2	411
2078	301	251	283	50	143	4	112
2079	301	251	274	52	144	3	41
42147	201	251	283	78	39	14	0
94087	435	251	260	52	342	7	46
1101	106	242	251	50	121	7	23
1116	101	264	283	49	115	0	64
1117	101	264	283	51	118	5	35
42153	201	283	283	74	133	5	0
91027	510	260	296	-7	305	8	10
91028	501	260	283	-10	318	25	25
2082	301	260	262	43	169	2	948
2083	301	262	272	47	171	6	86
1099	101	260	272	51	125	5	214
2086	301	274	283	49	154	1	2096
42150	206	264	274	76	136	12	64
2088	301	290	300	47	168	4	134
2089	301	283	296	40	164	4	238
2090	301	283	296	40	166	4	185
2091	301	280	292	48	163	10	29
2092	301	279	291	50	149	4	211
2093	301	260	283	46	167	13	54
2094	301	274	290	42	160	6	10
2095	301	274	290	37	170	7	10
2096	301	274	296	47	157	1	21
2097	301	274	296	43	165	8	35
2098	301	274	296	43	175	10	30
93077	433	264	272	65	163	4	128
93078	433	260	277	55	172	4	66
93079	433	260	277	57	190	5	42
2108	301	290	300	41	172	5	123
91029	501	283	290	-26	289	8	7
91030	501	286	296	3	262	12	7
42151	201	283	290	81	147	3	0
42152	201	272	293	78	69	3	15
1104	106	274	283	55	117	10	77
1105	106	283	296	44	120	5	27
1106	101	283	293	46	122	2	147
1107	106	274	296	44	118	0	0
1108	106	283	296	43	122	6	25
1109	106	277	290	44	116	2	21
1110	101	260	283	48	119	13	6
1111	146	283	304	43	115	3	19
1112	101	274	283	52	119	5	761
1113	101	283	296	51	123	2	129
1114	101	280	293	50	118	2	55
53083	801	283	296	46	302	5	170
1118	101	277	283	42	126	3	88
55163	907	272	303	53	261	8	94
2102	301	283	296	42	169	2	517
2104	301	283	296	49	161	17	53
41069	702	283	296	24	244	8	35
41070	702	283	296	32	244	5	20
41071	702	283	296	39	237	5	80
41072	701	283	296	29	240	6	59
41073	703	276	280	27	269	12	60
42155	206	283	296	65	167	4	0
42156	201	274	296	59	178	3	0
42157	206	283	296	63	176	8	0
1119	101	290	296	42	132	2	43
41074	703	276	280	46	220	5	227
41075	702	283	303	36	238	20	23
42159	201	283	303	57	177	11	14
1128	101	277	303	42	133	6	36
1129	101	277	303	41	126	6	433
2125	301	267	295	38	164	7	25
2111	301	290	300	42	168	19	44
2112	301	283	293	41	169	16	9
2113	301	290	300	48	175	6	35
2114	301	273	285	39	161	3	284
102032	652	296	300	17	258	9	40
102033	652	296	300	-34	230	12	74
2126	301	281	305	42	166	17	29
1120	101	276	288	34	126	16	4
2115	301	278	308	31	174	2	529
2116	301	277	293	38	166	5	660
41077	702	306	352	28	238	13	39
1121	101	283	296	44	123	5	162
42168	201	283	297	57	170	10	0
42160	201	283	290	66	168	5	0
53085	801	294	314	73	327	3	300
2121	301	296	300	43	170	5	196
2122	301	296	300	46	176	4	24
1126	106	296	301	47	119	3	42
62073	631	277	300	22	225	18	28
1122	101	296	305	46	129	2	40
1130	101	303	307	41	132	4	107
1134	101	296	307	40	131	6	32
42161	201	283	303	54	171	6	0
2123	301	296	307	39	163	9	56
2124	301	296	320	43	174	14	17
41076	703	277	300	27	207	11	52
42163	201	296	320	85	155	5	0
42164	201	283	296	49	163	5	16
42165	201	307	320	28	146	5	0
42166	201	296	303	55	171	12	0
42167	201	303	312	65	167	9	0
53084	801	296	320	50	320	9	15
93080	433	283	296	41	160	4	823
93081	433	283	296	52	180	9	79
94089	435	283	296	33	338	4	39
93082	433	296	333	72	7	7	28
94090	432	296	360	41	307	4	23
2127	301	295	307	44	161	5	259
2119	301	289	305	32	174	2	0
1131	101	300	305	39	125	10	58
1125	101	301	303	36	124	4	13
1132	101	296	320	38	133	10	20
114040	301	295	305	34	152	7	121
1123	101	303	305	37	131	8	45
1133	101	305	307	36	125	5	85
93083	433	315	333	70	299	6	36
2128	301	304	314	22	175	3	174
2129	301	303	306	39	181	11	27
114043	301	300	340	30	151	15	0
41080	701	312	333	25	235	4	128
1141	101	303	312	36	122	6	91
1138	101	306	333	21	135	10	49
1137	101	307	333	34	143	7	107
1140	101	295	325	11	148	10	43
53087	801	301	335	84	141	10	57
114042	301	310	320	12	111	6	0
1142	101	312	333	36	124	5	13
1136	101	312	333	29	122	33	60
41079	701	312	333	25	235	4	0
1143	101	305	337	34	118	7	32
2130	301	316	324	35	175	5	61
1147	101	317	341	36	122	3	89
1139	101	312	360	36	136	6	78
114046	301	320	337	-30	79	8	0
1148	101	312	344	24	141	10	18
1149	101	312	344	34	119	9	19
92063	434	312	352	30	292	28	12
92064	434	312	352	22	241	22	9
1150	101	320	352	22	122	9	40
2131	301	320	360	18	161	8	17
2132	301	320	360	14	152	7	31
1144	101	312	333	32	121	4	12
1151	101	320	356	20	139	5	91
116108	101	325	365	39	130	15	22
41081	702	333	352	8	237	6	0
