 9050001 402 137 250   0 BS 000 2
  86.49  40.45  2
  86.40  37.40  2
  86.27  34.18  2
  86.14  32.13  2
  86.09  31.19  2
  86.01  31.34  2
  86.01  31.30  2
  86.01  29.82  2
  86.00  26.97  2
  85.96  23.85  2
  85.85  19.92  2
  85.64  16.20  2
  85.39  12.83  2
  85.11  10.26  2
  85.05   9.68  2
  85.11   9.29  2
  85.10   8.48  2
  84.75   5.14  2
  84.74   4.77  2
  84.76   4.18  2
  84.68   3.41  2
  84.38   1.26  2
  84.19   0.03  2
  83.88  -1.88  2
  83.80  -1.85  2
  83.75  -2.34  2
  83.47  -4.17  2
  83.19  -5.48  2
  82.98  -6.58  2
  82.86  -7.00  2
  82.85  -6.99  3
  99.00   0.00  3
 9030001 402 101 250   0 BS 000 7
  75.58-175.60  3
  75.58-175.77  2
  75.60-176.42  2
  75.63-177.30  2
  75.76-178.28  2
  75.92-179.26  2
  76.07 179.99  2
  76.20 179.16  2
  76.33 178.15  2
  76.50 177.29  2
  76.71 177.16  2
  76.96 176.65  2
  77.02 175.72  2
  77.07 174.86  2
  77.22 173.99  2
  77.48 172.91  2
  77.72 171.75  2
  78.00 170.27  2
  78.22 168.93  2
  78.38 167.40  2
  78.51 165.84  2
  78.61 164.31  2
  78.80 163.22  2
  79.04 162.37  2
  79.31 161.27  2
  79.52 160.16  2
  79.73 158.85  2
  79.89 157.32  2
  80.07 155.08  2
  80.29 152.43  2
  80.41 150.72  2
  80.49 149.08  2
  80.61 147.43  2
  80.82 145.97  2
  80.91 145.67  2
  81.17 145.14  2
  81.45 144.99  2
  81.71 145.15  2
  81.87 145.47  2
  82.13 145.99  2
  82.42 146.46  2
  82.66 146.98  2
  82.96 147.53  2
  83.32 148.44  2
  83.63 149.25  2
  83.81 149.76  2
  84.07 150.32  2
  84.31 150.31  2
  84.50 149.68  2
  84.63 148.91  2
  84.88 147.69  2
  85.09 146.44  2
  85.32 145.29  2
  85.63 144.65  2
  85.87 144.46  2
  86.17 144.81  2
  86.44 145.39  2
  86.69 145.99  2
  86.93 147.12  2
  87.22 148.10  2
  87.58 149.18  2
  87.89 149.46  2
  88.18 149.47  2
  88.45 149.89  2
  88.73 151.81  2
  88.83 159.51  2
  88.88 168.56  2
  88.91 179.24  2
  88.92-172.02  2
  88.99-165.47  2
  89.12-152.03  2
  89.08-142.43  2
  88.95-133.07  2
  88.95-132.24  2
  88.86-126.56  2
  88.79-120.70  2
  88.66-111.94  2
  88.49-101.25  2
  88.30 -91.66  2
  88.12 -84.18  2
  88.01 -80.23  2
  87.91 -77.46  2
  87.79 -74.49  2
  87.59 -71.09  2
  87.28 -66.46  2
  87.12 -64.84  2
  86.89 -63.76  2
  86.68 -63.33  2
  86.44 -63.15  2
  86.24 -63.73  2
  85.99 -64.81  2
  85.83 -66.18  2
  85.72 -67.75  2
  85.53 -69.49  2
  85.38 -70.74  2
  85.23 -72.17  2
  85.05 -73.63  2
  84.76 -75.24  2
  84.59 -76.21  2
  84.54 -76.76  2
  84.54 -76.76  3
  99.00   0.00  3
 40X 111 402 990 600   0 CS 000 7
  75.84 139.92 3
  75.82 139.95 2
  75.79 139.96 2
  75.82 140.05 2
  75.81 140.17 2
  75.80 140.34 2
  75.76 140.31 2
  75.74 140.34 2
  75.72 140.27 2
  75.68 140.22 2
  75.68 140.26 2
  75.65 140.24 2
  75.62 140.27 2
  75.63 140.41 2
  75.60 140.51 2
  75.62 140.61 2
  75.61 140.70 2
  75.61 140.79 2
  75.62 140.84 2
  75.65 140.83 2
  75.73 140.83 2
  75.76 140.92 2
  75.78 140.90 2
  75.81 140.79 2
  75.88 140.79 2
  75.95 140.77 2
  76.01 140.78 2
  76.03 140.83 2
  76.06 140.95 2
  76.08 141.09 2
  76.06 141.24 2
  76.03 141.37 2
  76.01 141.55 2
  75.96 141.67 2
  75.92 141.80 2
  75.87 141.91 2
  75.82 141.96 2
  75.79 142.02 2
  75.74 142.10 2
  75.73 142.28 2
  75.71 142.41 2
  75.65 142.42 2
  75.60 142.34 2
  75.54 142.31 2
  75.49 142.23 2
  75.46 142.13 2
  75.40 142.08 2
  75.36 142.08 2
  75.31 142.11 2
  75.23 142.21 2
  75.16 142.31 2
  75.11 142.47 2
  75.07 142.56 2
  75.06 142.76 2
  75.05 142.95 2
  75.01 143.14 2
  74.98 143.27 2
  74.95 143.33 2
  74.93 143.30 2
  74.91 143.10 2
  74.90 142.93 2
  74.93 142.69 2
  74.96 142.47 2
  74.91 142.42 2
  74.87 142.41 2
  74.85 142.22 2
  74.88 142.13 2
  74.95 141.91 2
  74.98 141.81 2
  74.98 141.92 2
  75.03 141.95 2
  75.07 141.77 2
  75.03 141.63 2
  74.98 141.51 2
  74.96 141.22 2
  74.95 141.01 2
  74.91 140.78 2
  74.85 140.52 2
  74.83 140.24 2
  74.80 140.01 2
  74.80 139.85 2
  74.84 139.67 2
  74.83 139.82 2
  74.87 139.95 2
  74.90 139.77 2
  74.96 139.64 2
  75.02 139.64 2
  75.06 139.63 2
  75.05 139.56 2
  75.02 139.39 2
  74.98 139.38 2
  74.96 139.37 2
  74.91 139.33 2
  74.92 139.50 2
  74.86 139.41 2
  74.75 139.33 2
  74.70 139.22 2
  74.69 139.05 2
  74.72 138.88 2
  74.74 138.74 2
  74.74 138.57 2
  74.75 138.31 2
  74.79 138.13 2
  74.82 137.94 2
  74.90 137.80 2
  74.94 137.77 2
  74.98 137.72 2
  75.04 137.66 2
  75.03 137.44 2
  75.05 137.28 2
  75.08 137.19 2
  75.09 137.09 2
  75.13 136.95 2
  75.21 136.86 2
  75.26 136.77 2
  75.32 136.71 2
  75.34 136.68 2
  75.37 136.86 2
  75.34 137.04 2
  75.37 137.26 2
  75.42 137.17 2
  75.41 136.99 2
  75.43 136.95 2
  75.45 136.99 2
  75.45 137.15 2
  75.50 137.13 2
  75.54 136.92 2
  75.58 136.82 2
  75.59 136.80 2
  75.60 136.83 2
  75.57 136.92 2
  75.55 136.99 2
  75.58 137.05 2
  75.60 137.06 2
  75.63 137.08 2
  75.68 136.98 2
  75.75 136.98 2
  75.78 137.14 2
  75.76 137.39 2
  75.79 137.47 2
  75.81 137.42 2
  75.85 137.37 2
